ts,run_id,event,strategy,asset,slug,left_s,bn_px,up_ask,up_bid,up_spread,up_bid_sz,up_ask_sz,up_n_bids,up_n_asks,up_age_ms,dn_ask,dn_bid,dn_spread,dn_bid_sz,dn_ask_sz,dn_n_bids,dn_n_asks,dn_age_ms,fill_up,fill_dn,cost_up,cost_dn,dump_side,dump_px,dump_bid,dump_bid_src,dump_rec,cl_open,cl_close,cl_delta_pct,settle_dir,settle_src,clob_up_bid,clob_dn_bid,entry_fees,dump_fee,pnl,cum_pnl,cap,w,l,flags,
2026-03-08T20:35:10.604882849+00:00,R0308_200647,ENTRY,S3,eth,eth-updown-5m-1773002100,290,1964.25,0.51,0.5,0.01,31.9,113,50,49,0,0.5,0.49,0.01,113,31.9,49,50,0,0.511,0.501,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:35:10.604975419+00:00,R0308_200647,ENTRY,S3,sol,sol-updown-5m-1773002100,290,82.56,0.53,0.52,0.01,56.4,107.6,52,47,0,0.48,0.47,0.01,107.6,56.4,47,52,0,0.531,0.481,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:35:10.605061428+00:00,R0308_200647,ENTRY,S3,xrp,xrp-updown-5m-1773002100,290,1.36,0.51,0.5,0.01,14,12,50,49,0,0.5,0.49,0.01,12,14,49,50,0,0.511,0.501,5,5,,,,,,,,,,,,,,,,,,,,,
2026-03-08T20:39:31.495695574+00:00,R0308_200647,DUMP,S3,btc,btc-updown-5m-1773002100,29,67420,,,,,,,,,,,,,6.7,,10,89,,,,,DN,0.1,0.1,REAL,0.998,67363.45,67413.54,0.0744,,,,,,,,,,,,,MAKER_FILL
2026-03-08T20:39:33.570986554+00:00,R0308_200647,DUMP,S3,xrp,xrp-updown-5m-1773002100,27,1.36,,,,,,,,,,,,,1474.9,,1,30,,,,,DN,0.01,0.01,REAL,0.0998,1.36,1.36,0.0988,,,,,,,,,,,,,TAKER_FORCE
2026-03-08T20:39:33.571095268+00:00,R0308_200647,DUMP,S3,eth,eth-updown-5m-1773002100,27,1966.79,,,,,,,,,,,,,0,,0,99,,,,,DN,0.199,0.2,EST,1.986,1963.86,1966.62,0.1406,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:39:33.571151382+00:00,R0308_200647,DUMP,S3,sol,sol-updown-5m-1773002100,27,82.72,,,,,,,,,,,,,0,,0,99,,,,,DN,0.099,0.1,EST,1.0291,82.56,82.73,0.2066,,,,,,,,,,,,,TAKER_FORCE|EST_BID
2026-03-08T20:40:00.993338608+00:00,R0308_200647,SETTLE,S3,xrp,xrp-updown-5m-1773002100,0,1.36,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.01,,,1.36,1.36,0.0684,UP,CL,0.999,0,0.3087,0.0062,-0.4304,16.0397,116.0397,15,5,,,
2026-03-08T20:40:00.993483486+00:00,R0308_200647,SETTLE,S3,eth,eth-updown-5m-1773002100,0,1965.17,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.199,,,1963.86,1966.38,0.1283,UP,CL,0.999,0,0.3087,0.0994,1.3626,17.8327,117.8327,16,4,,,
2026-03-08T20:40:00.993584678+00:00,R0308_200647,SETTLE,S3,btc,btc-updown-5m-1773002100,0,67364.64,,,0.01,,,,,,,,0.01,,,,,,,,,,,0.1,,,67363.45,67397.89,0.0511,UP,CL,0.999,0,0.3087,0.0561,0.4179,16.8879,116.8879,16,4,,,
